agency,description,name,price
Realty One Group,"Goodyear,  AZ 85395",16697 W Roanoke Avenue,"$1,595,000"
My Home Group Real Estate,"Goodyear,  AZ 85395",4642 N 186th Lane,"$1,399,000"
Hague Partners,"Goodyear,  AZ 85395",3030 N 159th Drive,"$1,299,999"
Nexgen Real Estate,"Goodyear,  AZ 85338",16605 W Pima Street,"$1,200,000"
West Usa Realty,"Goodyear,  AZ 85395",16465 W Holly Street,"$1,199,000"
Exp Realty,"Goodyear,  AZ 85338",17636 W Paseo Way,"$1,195,000"
Berkshire Hathaway Homeservices Arizona Properties,"Goodyear,  AZ 85395",3070 N 159th Drive,"$1,189,999"
Hunt Real Estate Era,"Goodyear,  AZ 85338",8885 S San Angelo Street,"$1,185,000"
Homesmart,"Goodyear,  AZ 85338",18078 W Wind Drift Drive,"$1,150,000"
Realty One Group,"Goodyear,  AZ 85395",16547 W Holly Street,"$1,145,000"
Tri Pointe Homes Arizona Realty,"Goodyear,  AZ 85395",18176 W Coolidge Street,"$999,823"
Homesmart,"Goodyear,  AZ 85395",4632 N 183rd Avenue,"$975,000"
"Desert Canyon Properties, Llc","Maricopa,  AZ 85139",49749 W Pampas Grass Road,"$699,900"
West Usa Realty,"Maricopa,  AZ 85139",10502 N Candido Road,"$655,000"
Yay Realty,"Maricopa,  AZ 85138",42515 W Bravo Drive,"$655,000"
Arizona Gateway Real Estate,"Maricopa,  AZ 85138",20608 N Enchantment Pass,"$646,000"
Trelora Realty,"Maricopa,  AZ 85138",21676 N Backus Drive,"$625,000"
"Cactus Mountain Properties, Llc","Maricopa,  AZ 85138",42508 W Blue Suede Shoes Lane,"$624,000"
The Maricopa Real Estate Co,"Maricopa,  AZ 85138",40751 W Hall Drive,"$609,900"
The Maricopa Real Estate Co,"Maricopa,  AZ 85138",44049 W Palo Nuez Street,"$599,999"
Richmond American Homes,"Maricopa,  AZ 85138",40805 W Desert Fairways Drive,"$599,995"
The Maricopa Real Estate Co,"Maricopa,  AZ 85138",32323 W Bud Road,"$599,900"
"Congress Realty, Inc.","Maricopa,  AZ 85138",36896 W Leonessa Avenue,"$585,000"
Richmond American Homes,"Maricopa,  AZ 85138",40931 W Desert Fairways Drive,"$584,995"
Realty One Group,"Gilbert,  AZ 85298",2139 E Tiffany Court,"$5,899,000"
Jk Realty,"Gilbert,  AZ 85298",2574 E Camina Plata,"$4,850,000"
Exp Realty,"Gilbert,  AZ 85233",378 N Shore Lane,"$3,500,000"
My Home Group Real Estate,"Gilbert,  AZ 85234",641 E San Pedro Avenue,"$2,980,000"
"Az Seville Realty, Llc","Gilbert,  AZ 85298",4575 E Meadowview Drive,"$2,699,000"
My Home Group Real Estate,"Gilbert,  AZ 85296",1934 E Ray Road,"$2,600,000"
"Real Broker Az, Llc","Gilbert,  AZ 85297",2639 E Lovebird Lane,"$2,500,000"
Homesmart,"Gilbert,  AZ 85298",24620 S 182nd Place,"$2,200,000"
Keller Williams Northeast Realty,"Gilbert,  AZ 85298",21230 S 156th Street,"$2,150,000"
Dpr Realty Llc,"Gilbert,  AZ 85298",6649 S Giralda Avenue,"$1,999,999"
My Home Group Real Estate,"Gilbert,  AZ 85298",2704 E Via De Palmas,"$1,800,000"
Realty One Group,"Gilbert,  AZ 85234",2820 E Page Court,"$1,798,000"
